,Scientific name,Family,Common name,Growth rate (r),Mobility (m),Mobility classification,Movement source,Movement information notes and references
237,Ocyurus chrysurus,Lutjanidae,Yellowtail snapper,0.474,0.3,habitat_reef,FB,
238,Orcynopsis unicolor,Scombridae,Plain bonito,0.597,0.9,hms,FB,
239,Rastrelliger brachysoma,Scombridae,Short mackerel,1.172,0.9,pelagic,IUCN,
240,Rastrelliger kanagurta,Scombridae,Indian mackerel,1.13,0.9,pelagic,FAO,
241,Sarda orientalis,Scombridae,Striped bonito,0.341,0.9,pelagic,IUCN,
242,Sarda sarda,Scombridae,Atlantic bonito,0.703,0.9,hms,FB,
243,Scomberomorus commerson,Scombridae,Narrow-barred Spanish mackerel,0.543,0.9,hms,FB,"FB: “Known to undertake lengthy long-shore migrations, but permanent resident populations also seem to exist.”"
244,Scomberomorus guttatus,Scombridae,Indo-Pacific king mackerel,0.5,0.9,hms,FB,FB: “A pelagic migratory fish inhabiting coastal waters at depths between 15-200 m”
245,Scomberomorus lineolatus,Scombridae,Streaked seerfish,0.298,0.9,pelagic,IUCN,
246,Scomberomorus regalis,Scombridae,Cero,0.603,0.9,pelagic,IUCN,
247,Scomberomorus tritor,Scombridae,West African Spanish mackerel,1.01,0.9,pelagic,IUCN,
248,Thunnus atlanticus,Scombridae,Blackfin tuna,0.411,0.9,hms,FB,
249,Thunnus tonggol,Scombridae,Longtail tuna,0.222,0.9,pelagic,IUCN,
250,Acanthistius brasilianus,Serranidae,Argentine seabass,0.393,0.3,habitat_benthic,IUCN,
251,Albula vulpes,Albulidae,Bonefish,0.463,0.3,habitat_lagoon,FB,
252,Glossanodon semifasciatus,Argentinidae,Deep-sea smelt,0.519,0.9,pelagic,FB,
253,Arripis georgianus,Arripidae,Ruff,0.388,0.3,habitat_coastal,FB,"FB: “Usually found inshore in bays and estuaries over seagrass beds or near areas of seaweed (e.g. kelp), on rocky reefs, and along ocean beaches. Juveniles are found in inshore coastal waters, bays and inlets (Ref. 6390).”"
254,Conger myriaster,Congridae,Whitespotted conger,0.27,0.1,habitat_benthic,FB,
255,Boops boops,Sparidae,Bogue,0.471,0.9,pelagic,FB,
256,Boreogadus saida,Gadidae,Polar cod,0.371,0.9,migratory,FAO,"FAO: “also found at 50-175 km offshore in the Beaufort and Chulkchi Seas, at depths of 40 to 400 m... Migration patterns are unknown, except for a prespawning migration to nearshore waters in late summer in the Beaufort Sea.”"
257,Brama brama,Bramidae,Atlantic pomfret,0.254,0.9,migratory,FB,"FB: “Seasonal migrant occurring in small schools, movements apparently temperature-related.”"
258,Centropomus undecimalis,Centropomidae,Common snook,0.642,0.3,habitat_coastal,FB,"FB: “Adults inhabit coastal waters, estuaries and lagoons, penetrating into freshwater; usually at depths less than 20 m (Ref. 3713).”"
259,Chloroscombrus chrysurus,Carangidae,Atlantic bumper,0.817,0.3,habitat_coastal,FB,
260,Conger conger,Congridae,European conger,0.208,0.3,habitat_benthic,FB,
261,Conger oceanicus,Congridae,American conger,0.27,0.1,territorial,IUCN,"IUCN: “is usually associated with structured habitats such as piers, wrecks, jetties, reefs, or burrows shared with tilefish, Lopholatilus chamaeleonticeps (Able and Fahay 1998, Collette and Klein-MacPhee 2002, Correia et al. 2004).”"
262,Coregonus albula,Salmonidae,Vendace,0.421,0.9,migratory,FB,
263,Decapterus russelli,Carangidae,Indian scad,1.233,0.9,pelagic,FB,
264,Dicentrarchus punctatus,Moronidae,Spotted seabass,0.493,0.3,habitat_coastal,FB,
265,Eleginus gracilis,Gadidae,Saffron cod,0.307,0.3,habitat_coastal,FAO,FAO: “Migrations are not extensive.”
266,Eleutheronema tetradactylum,Polynemidae,Fourfinger threadfin,0.644,0.3,habitat_coastal,FB,
267,Harpadon nehereus,Synodontidae,Bombay-duck,0.452,0.3,habitat_benthic,FB,
268,Isacia conceptionis,Haemulidae,Cabinza grunt,0.655,0.3,habitat_coastal,FB,
269,Lactarius lactarius,Lactariidae,False trevally,0.894,0.3,habitat_coastal,FB,
270,Lates calcarifer,Latidae,Barramundi,0.707,0.3,habitat_coastal,FB,
271,Lutjanus gibbus,Lutjanidae,Humpback red snapper,0.436,0.3,habitat_reef,FB,
272,Lutjanus griseus,Lutjanidae,Grey snapper,0.329,0.3,habitat_reef,FB,
273,Lutjanus johnii,Lutjanidae,John's snapper,0.365,0.3,habitat_reef,FB,
274,Megalaspis cordyla,Carangidae,Torpedo scad,0.855,0.9,pelagic,FB,"FB: “Adults are primarily oceanic, pelagic schooling species rarely seen on reefs (Ref. 48635, 90102).”"
275,Megalops cyprinoides,Megalopidae,Indo-Pacific tarpon,0.22,0.3,habitat_coastal,FB,
276,Mene maculata,Menidae,Moonfish,0.681,0.3,habitat_reef,FB,
277,Menidia menidia,Atherinopsidae,Atlantic silverside,0.883,0.3,habitat_coastal,FB,
278,Microgadus tomcod,Gadidae,Atlantic tomcod,0.461,0.3,habitat_coastal,FB,
279,Muraenesox cinereus,Muraenesocidae,Daggertooth pike conger,0.409,0.1,sedentary,REF,Secondary ref: (19)
280,Nemipterus virgatus,Nemipteridae,Golden threadfin bream,0.957,0.3,habitat_benthic,FB,
281,Oncorhynchus gorbuscha,Salmonidae,Pink salmon,0.492,0.9,migratory,FB,
282,Oncorhynchus keta,Salmonidae,Chum salmon,0.332,0.9,migratory,FB,
283,Oncorhynchus kisutch,Salmonidae,Coho salmon,0.528,0.9,migratory,FB,
284,Oncorhynchus masou,Salmonidae,Masu salmon,0.488,0.9,migratory,FB,
285,Oncorhynchus nerka,Salmonidae,Sockeye salmon,0.343,0.9,migratory,FB,
286,Oncorhynchus tshawytscha,Salmonidae,Chinook salmon,0.492,0.9,migratory,FB,
287,Osmerus mordax,Osmeridae,Rainbow smelt,0.088,0.3,habitat_coastal,IUCN,
288,Paralabrax humeralis,Serranidae,Peruvian rock seabass,0.275,0.3,habitat_benthic,IUCN,
289,Parona signata,Carangidae,Parona leatherjacket,0.935,0.3,habitat_coastal,FB,
290,Pentanemus quinquarius,Polynemidae,Royal threadfin,0.687,0.3,habitat_coastal,FB,
291,Plectorhinchus mediterraneus,Haemulidae,Rubberlip grunt,0.295,0.3,habitat_benthic,IUCN,
292,Polyprion americanus,Polyprionidae,Wreckfish,0.097,0.3,habitat_benthic,FB,or habitat_deep
293,Pomadasys argenteus,Haemulidae,Silver grunt,0.806,0.3,habitat_coastal,FB,
294,Salilota australis,Moridae,Tadpole codling,0.247,0.9,deep,FB,
295,Sarpa salpa,Sparidae,Salema,0.511,0.3,habitat_reef,FB,
296,Selar crumenophthalmus,Carangidae,Bigeye scad,1.356,0.9,pelagic,FB,FB: “Adults prefer clear oceanic waters around islands to neritic waters (Ref. 5217). Occasionally in turbid waters (Ref. 9283). Pelagic (Ref. 58302).”
297,Selaroides leptolepis,Carangidae,Yellowstripe scad,1.612,0.3,habitat_coastal,FB,
298,Selene dorsalis,Carangidae,African moonfish,0.655,0.3,habitat_coastal,FB,
299,Selene setapinnis,Carangidae,Atlantic moonfish,0.895,0.3,habitat_coastal,FB,
300,Trachinotus carolinus,Carangidae,Florida pompano,0.843,0.3,habitat_coastal,FB,
301,Trachurus declivis,Carangidae,Greenback horse mackerel,0.29,0.9,pelagic,FB,
302,Trachurus symmetricus,Carangidae,Pacific jack mackerel,0.238,0.9,pelagic,FB,
303,Urophycis brasiliensis,Phycidae,Brazilian codling,0.375,0.3,habitat_benthic,FB,FB: “Marine; demersal; non-migratory”
304,Urophycis chuss,Phycidae,Red hake,0.304,0.9,migratory,REF,"Secondary ref: (20) “Red hake make extensive seasonal, depth- and temperature-related migrations”"
305,Zenopsis conchifer,Zeidae,Silvery John dory,0.246,0.3,habitat_reef,FB,
306,Ablennes hians,Belonidae,Flat needlefish,0.581,0.3,habitat_coastal,FB,
307,Amphichthys cryptocentrus,Batrachoididae,Bocon toadfish,0.572,0.1,sedentary,FB,FB: “Inhabits littoral (subtidal) waters; usually found on sandy or rock bottom; large fish may be found in waters less than 1 m of depth hiding in crevices or caves (Ref. 3273).”
308,Archosargus probatocephalus,Sparidae,Sheepshead,0.61,0.3,habitat_reef,FB,
309,Arctoscopus japonicus,Trichodontidae,Japanese sandfish,0.63,0.3,habitat_benthic,FB,
310,Argyrops spinifer,Sparidae,King soldier bream,0.494,0.3,habitat_coastal,FB,
311,Argyrosomus hololepidotus,Sciaenidae,Southern meagre,0.228,0.3,habitat_coastal,FB,
312,Argyrosomus regius,Sciaenidae,Meagre,0.149,0.9,migratory,FB,FB: “Both adults and juveniles are migratory moving along shore or offshore-onshore in response to temperature change (Ref. 11025)”
313,Argyrozona argyrozona,Sparidae,Carpenter seabream,0.338,0.3,habitat_reef,IUCN,"IUCN: “Tagging studies have shown that adults are fairly resident with a small percentage of fish that disperse (Brouwer et al. 2003, Griffiths and Wilke 2002) including some nomadic behaviour involving migrations of more than 100 km (Griffiths and Mann 2000).”"
314,Atractoscion aequidens,Sciaenidae,Geelbeck croaker,0.312,0.3,habitat_coastal,FB,
315,Atrobucca nibe,Sciaenidae,Blackmouth croaker,0.461,0.3,habitat_coastal,FB,
316,Austroglossus microlepis,Soleidae,West coast sole,0.186,0.3,habitat_benthic,FB,
317,Austroglossus pectoralis,Soleidae,Mud sole,0.268,0.3,habitat_benthic,FB,
318,Brotula barbata,Ophidiidae,Bearded brotula,0.276,0.3,habitat_benthic,FB,
319,Carcharhinus brachyurus,Carcharhinidae,Copper shark,0.069,0.9,hms,FB,
320,Carcharhinus falciformis,Carcharhinidae,Silky shark,0.067,0.9,hms,FB,
321,Carcharhinus longimanus,Carcharhinidae,Oceanic whitetip shark,0.093,0.9,hms,FB,
322,Carcharhinus sorrah,Carcharhinidae,Spot-tail shark,0.181,0.9,hms,FB,
323,Centrophorus granulosus,Centrophoridae,Gulper shark,0.044,0.9,deep,FB,
324,Centrophorus squamosus,Centrophoridae,Leafscale gulper shark,0.031,0.9,deep,FB,
325,Cephaloscyllium isabellum,Scyliorhinidae,Draughtsboard shark,0.188,0.3,habitat_reef,FB,"or habtiat_benthic; FB: “Found in crevices and caves of rocky reefs during the day, but may move to adjacent sandy areas at night”"
326,Cetengraulis edentulus,Engraulidae,Atlantic anchoveta,0.508,0.3,habitat_coastal,FB,
327,Cetengraulis mysticetus,Engraulidae,Pacific anchoveta,0.828,0.3,habitat_coastal,FB,FB: “Apparently not making long migrations along sandy or rocky areas.”
328,Cheimerius nufar,Sparidae,Santer seabream,0.438,0.3,habitat_reef,FB,
329,Chelidonichthys kumu,Triglidae,Bluefin gurnard,0.231,0.3,habitat_benthic,FB,
330,Conodon nobilis,Haemulidae,Barred grunt,0.655,0.3,habitat_benthic,IUCN,
331,Cynoscion analis,Sciaenidae,Peruvian weakfish,0.552,0.3,habitat_coastal,FB,
332,Cynoscion nebulosus,Sciaenidae,Spotted weakfish,0.437,0.3,habitat_coastal,FB,
333,Cynoscion striatus,Sciaenidae,Striped weakfish,0.562,0.3,habitat_reef,FOA,
334,Dalatias licha,Dalatiidae,Kitefin shark,0.13,0.9,deep,FB,
335,Dentex dentex,Sparidae,Common dentex,0.295,0.3,habitat_reef,FB,
336,Drepane punctata,Drepaneidae,Spotted sicklefish,0.537,0.3,habitat_coastal,FB,
337,Eleginops maclovinus,Eleginopsidae,Patagonian blennie,0.185,0.3,habitat_coastal,REF,Secondary ref: (21)
338,Epinephelus aeneus,Serranidae,White grouper,0.173,0.9,migratory,FB,FB: “The seasonal migration of the species off the coast of Senegal is influenced by the seasonal upwelling off Senegal and Mauritania.”
339,Etmopterus spinax,Etmopteridae,Velvet belly,0.042,0.3,deep,IUCN,
340,Galeocerdo cuvier,Carcharhinidae,Tiger shark,0.076,0.9,hms,FB,"FB: “Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).”"
341,Genyonemus lineatus,Sciaenidae,White croaker,0.625,0.3,habitat_benthic,IUCN,
342,Hexanchus griseus,Hexanchidae,Bluntnose sixgill shark,0.164,0.9,deep,FB,
343,Lepidopus caudatus,Trichiuridae,Silver scabbardfish,0.293,0.3,habitat_deep,FB,
344,Lichia amia,Carangidae,Leerfish,0.935,0.3,habitat_coastal,FB,
345,Lithognathus mormyrus,Sparidae,Sand steenbras,0.517,0.3,habitat_reef,FB,
346,Macrodon ancylodon,Sciaenidae,King weakfish,0.617,0.3,habitat_coastal,FB,
347,Menticirrhus littoralis,Sciaenidae,Gulf kingcroaker,0.552,0.3,habitat_coastal,FB,
348,Menticirrhus saxatilis,Sciaenidae,Northern kingfish,0.498,0.3,habitat_coastal,FB,
349,Naucrates ductor,Carangidae,Pilotfish,1.065,0.9,pelagic,FB,"FB: “Oceanic species with a semi-obligate commensal relationship with sharks, rays, other bony fishes and turtles (Ref. 5217).”"
350,Oblada melanura,Sparidae,Saddled seabream,0.431,0.3,habitat_reef,FB,
351,Oxynotus centrina,Oxynotidae,Angular roughshark,0.13,0.3,habitat_benthic,FB,
352,Pagellus acarne,Sparidae,Axillary seabream,0.478,0.3,habitat_reef,FB,
353,Pampus argenteus,Stromateidae,Silver pomfret,0.666,0.3,habitat_coastal,FB,
354,Paralonchurus peruanus,Sciaenidae,Peruvian banded croaker,0.625,0.3,habitat_coastal,FB,
355,Parapercis colias,Pinguipedidae,New Zealand blue cod,0.447,0.1,habitat_coastal,REF,Ref: (22)
356,Petrus rupestris,Sparidae,Red steenbras,0.257,0.9,migratory,REF,Secondary ref: (23)
357,Pogonias cromis,Sciaenidae,Black drum,0.187,0.3,habitat_coastal,FB,
358,Prionace glauca,Carcharhinidae,Blue shark,0.055,0.9,hms,FB,
359,Psenopsis anomala,Centrolophidae,Pacific rudderfish,0.702,0.3,habitat_coastal,FAO,"FAO: “Epipelagic layer to 370m. Adults inhabit bottom, but migrate upward at night.”"
360,Psettodes erumei,Psettodidae,Indian halibut,0.855,0.3,habitat_benthic,FB,
361,Pseudotolithus senegalensis,Sciaenidae,Cassava croaker,0.477,0.3,habitat_coastal,FB,
362,Pterogymnus laniarius,Sparidae,Panga seabream,0.384,0.3,habitat_reef,FB,
363,Pteroscion peli,Sciaenidae,Boe drum,0.625,0.3,habitat_benthic,FB,
364,Pterygotrigla polyommata,Triglidae,Latchet,0.388,0.3,habitat_benthic,FB,
365,Rhabdosargus globiceps,Sparidae,White stumpnose,0.441,0.3,habitat_reef,FB,
366,Scophthalmus rhombus,Scophthalmidae,Brill,0.837,0.3,habitat_benthic,FB,
367,Scyliorhinus stellaris,Scyliorhinidae,Nursehound,0.165,0.3,habitat_benthic,FB,"FB: “found over rough, even rocky or coralline ground, and algal-covered bottoms. Feed on bottom-living invertebrates...”"
368,Sphyrna lewini,Sphyrnidae,Scalloped hammerhead,0.06,0.9,migratory,FB,FB: “Huge schools of small migrating individuals move pole ward in the summer in certain areas (Ref. 244).”
369,Sphyrna zygaena,Sphyrnidae,Smooth hammerhead,0.115,0.9,migratory,FB,FB: “Migrates northward in summer; young often in large aggregations of hundreds of individuals (Ref. 13562).”
370,Squatina argentina,Squatinidae,Argentine angelshark,0.101,0.3,habitat_benthic,FB,
371,Stephanolepis cirrhifer,Monacanthidae,Threadsail filefish,0.843,0.3,habitat_coastal,IUCN,
372,Tautoga onitis,Labridae,Tautog,0.359,0.3,habitat_coastal,REF,Secondary ref: (24)
373,Thyrsites atun,Gempylidae,Snoek,0.349,0.3,habitat_coastal,REF,Secondary ref: (25)
374,Zoarces viviparus,Zoarcidae,Eelpout,0.331,0.1,sedentary,REF,Secondary ref: (26)
375,Alepes djedaba,Carangidae,Shrimp scad,1.017,0.3,habitat_reef,FB,
376,Alosa pseudoharengus,Clupeidae,Alewife,1.843,0.3,habitat_coastal,FB,FB: “Movement of schooling adults apparently restricted to coastal areas proximal to natal estuaries (Ref. 4639).”
377,Alosa sapidissima,Clupeidae,American shad,1.013,0.9,pelagic,FB,"FB: “Spends most of its life at sea, returning to freshwater streams to breed (Ref. 27547).”"
378,Amblygaster sirm,Clupeidae,Spotted sardinella,1.417,0.3,habitat_coastal,FB,
379,Anchoa nasus,Engraulidae,Longnose anchovy,1.297,0.3,habitat_coastal,FB,
380,Anodontostoma chacunda,Clupeidae,Chacunda gizzard shad,1.401,0.3,habitat_coastal,FB,
381,Atule mate,Carangidae,Yellowtail scad,1.255,0.3,habitat_reef,FB,"FB: “Adults inhabit mangroves and coastal bays in pelagic waters (Ref. 58302). They form schools to about 50 m in inshore waters (Ref. 9894), or singly (Ref. 48635).”"
382,Brevoortia aurea,Clupeidae,Brazilian menhaden,0.939,0.3,habitat_coastal,REF,Secondary ref: (27)
383,Carangoides bajad,Carangidae,Orangespotted trevally,0.976,0.3,habitat_reef,FB,FB: “Adults are common along coastal reef slopes or around large coral heads in lagoons (Ref. 48635).”
384,Caranx crysos,Carangidae,Blue runner,0.711,0.3,habitat_coastal,FB,
385,Carangoides fulvoguttatus,Carangidae,Yellowspotted trevally,1.01,0.3,habitat_reef,FB,
386,Caranx ignobilis,Carangidae,Giant trevally,0.422,0.3,habitat_reef,FB,
387,Caranx ruber,Carangidae,Bar jack,0.824,0.3,habitat_reef,FB,
388,Chirocentrus nudus,Chirocentridae,Whitefin wolf-herring,0.27,0.3,habitat_coastal,FB,"FB: “An inshore pelagic species that feeds mainly on small fishes, but also crabs (Ref. 5213).”"
389,Clupanodon thrissa,Clupeidae,Chinese gizzard shad,1.165,0.3,habitat_coastal,FB,
390,Clupeonella cultriventris,Clupeidae,Black and Caspian Sea sprat,0.908,0.9,migratory,FB,FB: “Migratory between winter or autumn feeding and summer spawning grounds.”
391,Cynoscion acoupa,Sciaenidae,Acoupa weakfish,0.392,0.3,habitat_coastal,FB,
392,Cynoscion jamaicensis,Sciaenidae,Jamaica weakfish,0.661,0.3,habitat_coastal,FB,
393,Cynoscion leiarchus,Sciaenidae,Smooth weakfish,0.647,0.3,habitat_coastal,FB,
394,Cynoscion virescens,Sciaenidae,Green weakfish,0.562,0.3,habitat_coastal,FB,
395,Dactylopterus volitans,Dactylopteridae,Flying gurnard,0.639,0.3,habitat_coastal,IUCN,IUCN: “It is a pelagic spawner.”
396,Decapterus maruadsi,Carangidae,Japanese scad,1.48,0.9,pelagic,FB,"FB: “In Guam, it is encountered in large numbers around fish aggregating devices, buoys anchored offshore to attract pelagic game fishes.”"
397,Diplodus annularis,Sparidae,Annular seabream,0.781,0.3,habitat_coastal,FB,
398,Diplodus sargus,Sparidae,White seabream,0.54,0.3,habitat_reef,FB,
399,Diplodus vulgaris,Sparidae,Common two-banded seabream,0.583,0.3,habitat_reef,FB,
400,Ethmidium maculatum,Clupeidae,Pacific menhaden,1.165,0.3,habitat_coastal,FB,
401,Hemiramphus brasiliensis,Hemiramphidae,Ballyhoo halfbeak,0.747,0.3,habitat_coastal,REF,Secondary ref: (28)
402,Hilsa kelee,Clupeidae,Kelee shad,1.08,0.3,habitat_coastal,FB,
403,Ilisha elongata,Pristigasteridae,Elongate ilisha,0.974,0.3,habitat_coastal,FB,
404,Isopisthus parvipinnis,Sciaenidae,Bigtooth corvina,0.625,0.3,habitat_coastal,FB,
405,Konosirus punctatus,Clupeidae,Dotted gizzard shad,0.793,0.3,habitat_coastal,FB,
406,Lachnolaimus maximus,Labridae,Hogfish,0.503,0.3,habitat_reef,FB,
407,Lampris guttatus,Lampridae,Opah,0.605,0.9,pelagic,FB,
408,Lepidocybium flavobrunneum,Gempylidae,Escolar,0.416,0.9,migrtory,REF,Secondary ref: (29)
409,Lethrinus harak,Lethrinidae,Thumbprint emperor,0.396,0.3,habitat_reef,FB,
410,Lethrinus lentjan,Lethrinidae,Pink ear emperor,0.428,0.3,habitat_reef,FB,
411,Lethrinus nebulosus,Lethrinidae,Spangled emperor,0.335,0.3,habitat_reef,FB,
412,Lethrinus obsoletus,Lethrinidae,Orange-striped emperor,0.457,0.3,habitat_reef,FB,
413,Liza aurata,Mugilidae,Golden grey mullet,0.461,0.3,habitat_coastal,FB,
414,Liza saliens,Mugilidae,Leaping mullet,0.498,0.3,habitat_coastal,FB,
415,Lutjanus analis,Lutjanidae,Mutton snapper,0.375,0.3,habitat_reef,FB,
416,Lutjanus argentimaculatus,Lutjanidae,Mangrove red snapper,0.346,0.3,habitat_reef,FB,
417,Lutjanus argentiventris,Lutjanidae,Yellow snapper,0.313,0.3,habitat_reef,FB,
418,Lutjanus bohar,Lutjanidae,Two-spot red snapper,0.403,0.3,habitat_reef,FB,
419,Lutjanus buccanella,Lutjanidae,Blackfin snapper,0.522,0.3,habitat_coastal,FB,
420,Lutjanus cyanopterus,Lutjanidae,Cubera snapper,0.381,0.3,habitat_reef,FB,
421,Merluccius albidus,Merlucciidae,Offshore silver hake,0.365,0.9,pelagic,REF,Secondary ref: (30)
422,Microstomus kitt,Pleuronectidae,Lemon sole,0.121,0.3,habitat_benthic,FB,
423,Molva dypterygia,Lotidae,Blue ling,0.122,0.3,habitat_benthic,FB,or habitat_deep
424,Monotaxis grandoculis,Lethrinidae,Humpnose big-eye bream,0.551,0.3,habitat_reef,FB,
425,Mora moro,Moridae,Common mora,0.146,0.9,deep,FB,"FB: Ref. 9563, Ref. 4774"
426,Naso unicornis,Acanthuridae,Bluespine unicornfish,0.337,0.3,habitat_reef,FB,
427,Nematalosa nasus,Clupeidae,Bloch's gizzard shad,1.124,0.3,habitat_coastal,FB,
428,Opisthonema libertate,Clupeidae,Pacific thread herring,0.701,0.3,habitat_coastal,FAO,
429,Opisthonema oglinum,Clupeidae,Atlantic thread herring,1.027,0.3,habitat_coastal,FB,
430,Osmerus eperlanus,Osmeridae,European smelt,0.095,0.3,habitat_coastal,FB,
431,Pagrus pagrus,Sparidae,Red porgy,0.394,0.3,habitat_reef,FB,
432,Parastromateus niger,Carangidae,Black pomfret,1.07,0.3,habitat_coastal,FB,
433,Phycis phycis,Phycidae,Forkbeard,0.512,0.3,habitat_benthic,FB,
434,Platichthys flesus,Pleuronectidae,European flounder,0.34,0.3,habitat_benthic,IUCN,"IUCN: “It migrates into the open sea to breed from March to June, during which time it can migrate up to 300 km offshore, although it will more often migrate just 30 km.”"
435,Sardinella brasiliensis,Clupeidae,Brazilian sardinella,0.788,0.3,habitat_coastal,FB,
436,Sardinella gibbosa,Clupeidae,Goldstripe sardinella,1.234,0.3,habitat_coastal,IUCN,"IUCN: “Sardinella gibbosa is a marine, reef-associated species that occurs in tropical waters between depths of 10 to 70 m (Pauly et al. 1996, FAO-FIGIS 2005).  This species forms schools in coastal waters; it is found in inshore waters of the continental shelf (Sousa and Dias 1981, Fischer et al. 1990).”"
437,Sardinella maderensis,Clupeidae,Madeiran sardinella,0.811,0.9,migratory,IUCN,"IUCN: “Juveniles and adults show clear north-south migrations in the Gabon-Congo-Angola sector of their range and also in the Sierra Leone-Mauritania sector, each area having nurseries.”"
438,Sardinella zunasi,Clupeidae,Japanese sardinella,0.938,0.3,habitat_coastal,IUCN,"IUCN: “Sardinella zunasi is a coastal, marine, pelagic species that is found near shore, including semi-enclosed sea areas over sandy and mud bottom habitats (Yamada et al. 1995).”"
439,Saurida undosquamis,Synodontidae,Brushtooth lizardfish,0.594,0.3,habitat_benthic,FB,
440,Sciaenops ocellatus,Sciaenidae,Red drum,0.347,0.3,habitat_benthic,FB,
441,Scomberoides lysan,Carangidae,Doublespotted queenfish,0.861,0.3,habitat_reef,FB,
442,Scomberoides tol,Carangidae,Needlescaled queenfish,0.911,0.3,habitat_reef,FB,
443,Seriolina nigrofasciata,Carangidae,Blackbanded trevally,0.935,0.3,habitat_reef,FB,
444,Serranus cabrilla,Serranidae,Comber,0.511,0.3,habitat_benthic,FB,
445,Sphyraena barracuda,Sphyraenidae,Great barracuda,0.283,0.3,habitat_coastal,FB,
446,Sphyraena sphyraena,Sphyraenidae,European barracuda,0.489,0.3,habitat_coastal,FB,
447,Spondyliosoma cantharus,Sparidae,Black seabream,0.395,0.3,habitat_reef,FB,
448,Sprattus fuegensis,Clupeidae,Falkland sprat,0.593,0.3,habitat_coastal,FB,
449,Tenualosa ilisha,Clupeidae,Hilsa shad,1.644,0.9,migratory,FB,
450,Tenualosa toli,Clupeidae,Toli shad,2.002,0.3,habitat_coastal,FB,
451,Trachinotus blochii,Carangidae,Snubnose pompano,0.843,0.3,habitat_reef,FB,
452,Trisopterus luscus,Gadidae,Pouting,0.881,0.3,habitat_coastal,FB,Secondary ref: (31)
453,Umbrina cirrosa,Sciaenidae,Shi drum,0.434,0.3,habitat_reef,FB,
454,Lethrinus mahsena,Lethrinidae,Sky emperor,0.322,0.3,habitat_reef,FB,
455,Alopias superciliosus,Alopiidae,Bigeye thresher,0.077,0.9,hms,FB,
456,Alopias vulpinus,Alopiidae,Thresher,0.047,0.9,hms,FB,
457,Antimora rostrata,Moridae,Blue antimora,0.117,0.9,deep,FB,
458,Argentina silus,Argentinidae,Greater argentine,0.073,0.9,pelagic,FB,
459,Dasyatis pastinaca,Dasyatidae,Common stingray,0.527,0.3,habitat_benthic,FB,
460,Ginglymostoma cirratum,Ginglymostomatidae,Nurse shark,0.072,0.3,habitat_reef,FB,
461,Gymnura altavela,Gymnuridae,Spiny butterfly ray,0.329,0.3,habitat_benthic,IUCN,
462,Pseudophycis bachus,Moridae,Red codling,0.201,0.3,habitat_benthic,FB,or habitat_deep
463,Atractoscion nobilis,Sciaenidae,White weakfish,0.297,0.3,habitat_coastal,FB,
464,Caulolatilus princeps,Malacanthidae,Ocean whitefish,0.361,0.3,habitat_reef,FB,
465,Citharichthys sordidus,Paralichthyidae,Pacific sanddab,0.949,0.3,habitat_benthic,FB,
466,Hyperoglyphe bythites,Centrolophidae,Black driftfish,0.292,0.3,habitat_coastal,IUCN,
467,Malacanthus plumieri,Malacanthidae,Sand tilefish,0.402,0.3,habitat_benthic,FB,
468,Paralichthys californicus,Paralichthyidae,California flounder,0.686,0.3,habitat_benthic,REF,Secondary ref: (32)
469,Rachycentron canadum,Rachycentridae,Cobia,0.444,0.9,hms,IUCN,
470,Semicossyphus pulcher,Labridae,California sheephead,0.707,0.3,habitat_reef,IUCN,"IUCN: “The fish tend to stay in the same reef and do not move around a lot, as shown by tag-recapture research (DeMartini et al. 1994).”"
471,Taractichthys steindachneri,Bramidae,Sickle pomfret,0.47,0.9,hms,FB,"FB: “Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).”"
472,Tautogolabrus adspersus,Labridae,Cunner,0.542,0.3,habitat_coastal,FB,
473,Trachipterus arcticus,Trachipteridae,Dealfish,0.142,0.3,habitat_deep,FB,
474,Myliobatis aquila,Myliobatidae,Common eagle ray,0.238,0.3,habitat_coastal,FB,
475,Carangoides malabaricus,Carangidae,Malabar trevally,1.169,0.3,habitat_reef,FB,
476,Epinephelus fuscoguttatus,Serranidae,Brown-marbled grouper,0.27,0.3,habitat_reef,FB,
477,Epinephelus tauvina,Serranidae,Greasy grouper,0.187,0.3,habitat_reef,FB,
478,Gnathanodon speciosus,Carangidae,Golden trevally,0.706,0.3,habitat_reef,FB,
479,Diagramma pictum,Haemulidae,Painted sweetlips,0.515,0.3,habitat_reef,FB,
480,Acanthopagrus bifasciatus,Sparidae,Twobar seabream,0.487,0.3,habitat_reef,FB,
481,Sillago sihama,Sillaginidae,Silver sillago,0.713,0.3,habitat_coastal,FB,
482,Megalops atlanticus,Megalopidae,Tarpon,0.15,0.9,migratory,IUCN,"IUCN: “Tarpon may have resident, migratory, or mixed populations (Robins et al. 1977). Tagging studies indicate that some mature tarpon may undertake substantial and alongshore migrations (Ault et al. 2005, Luo et al. 2008), while others are residents of particular locations (Guindon unpublished data, sensu Robichaud and Rose 2004). These movements may represent repeated migratory patterns, or there may be significant annual variation in the movement pattern of individuals (Ault et al. 2008). Seasonal migrations may also occur. Migrations cross state and federal boundaries, which may impact regulation.”"
483,Nemipterus japonicus,Nemipteridae,Japanese threadfin bream,1.262,0.3,habitat_benthic,FB,
